id,diseaseIds,isInMembrane,locations_clean
ENSG00000183888,['MONDO_0007254'],0,Nucleoplasm
ENSG00000229927,['MONDO_0007254'],,No location data
ENSG00000198885,['MONDO_0007254'],0,Membrane
ENSG00000007314,['MONDO_0007254'],0,"Cell membrane,Golgi apparatus"
ENSG00000238097,['MONDO_0007254'],,No location data
ENSG00000183032,['MONDO_0007254'],0,Mitochondrion inner membrane
ENSG00000143297,['MONDO_0007254'],1,Cell membrane
ENSG00000185551,['MONDO_0007254'],0,"Nucleus,Nucleoplasm,Cytosol"
ENSG00000241644,['MONDO_0007254'],0,"Cytoplasm,Golgi apparatus,Vesicles"
ENSG00000136110,['MONDO_0007254'],0,"[Chondromodulin-1]: Secreted,[Chondrosurfactant protein]: Endomembrane system"
ENSG00000258839,['MONDO_0007254'],1,Cell membrane
ENSG00000181274,['MONDO_0007254'],0,"Nucleoplasm,Mitochondria"
ENSG00000064995,['MONDO_0007254'],0,"Nucleus,Nucleoplasm,Golgi apparatus"
ENSG00000173334,['MONDO_0007254'],1,"Cytosol,Plasma membrane"
ENSG00000198223,['MONDO_0007254'],1,"Cell membrane,[Isoform 3]: Secreted,[Isoform 4]: Secreted,[Isoform 6]: Secreted"
ENSG00000136688,['MONDO_0007254'],1,"Cytoplasm,Secreted,Cytosol,Nucleoplasm,Plasma membrane,Predicted to be secreted"
ENSG00000124721,['MONDO_0007254'],0,Cytoplasm
ENSG00000116001,['MONDO_0007254'],0,"Nucleus,Cytoplasm,Nucleoplasm,Cytosol"
ENSG00000163823,['MONDO_0007254'],1,Cell membrane
ENSG00000186897,['MONDO_0007254'],0,"Secreted,Vesicles,Cytosol,Predicted to be secreted"
ENSG00000125813,['MONDO_0007254'],0,Nucleus
ENSG00000169071,['MONDO_0007254'],1,Cell membrane
ENSG00000135919,['MONDO_0007254'],0,"Secreted,Golgi apparatus,Predicted to be secreted"
ENSG00000169933,['MONDO_0007254'],0,Cell projection
ENSG00000116032,['MONDO_0007254'],1,Cell membrane
ENSG00000198797,['MONDO_0007254'],0,Secreted
ENSG00000231234,['MONDO_0007254'],,No location data
ENSG00000159199,['MONDO_0007254'],0,Mitochondrion membrane
ENSG00000171241,['MONDO_0007254'],0,"Midbody,Cytoplasm,Nuclear bodies,Microtubules,Midbody,Mitotic spindle"
ENSG00000121067,['MONDO_0007254'],0,"Nucleus,Nucleus speckle"
ENSG00000200816,['MONDO_0007254'],,No location data
ENSG00000132581,['MONDO_0007254'],0,"Secreted,Vesicles"
ENSG00000117148,['MONDO_0007254'],0,"Cytoplasm,Cytosol"
ENSG00000111875,['MONDO_0007254'],0,"Nucleus,Chromosome,Nucleoplasm"
ENSG00000163492,['MONDO_0007254'],0,"Cytoplasm,Nucleoplasm"
ENSG00000178184,['MONDO_0007254'],1,"Cytoplasm,Cell membrane,Cell junction,Plasma membrane"
ENSG00000255774,['MONDO_0007254'],,No location data
ENSG00000170577,['MONDO_0007254'],0,"Nucleus,Nucleoplasm,Nuclear membrane"
ENSG00000251562,['MONDO_0007254'],,No location data
ENSG00000213246,['MONDO_0007254'],0,"Nucleus,Nucleoplasm"
ENSG00000071991,['MONDO_0007254'],1,Cell membrane
ENSG00000205795,['MONDO_0007254'],0,"Cell projection,Cytoplasm"
ENSG00000171119,['MONDO_0007254'],0,"Secreted,Golgi apparatus,Predicted to be secreted"
ENSG00000170209,['MONDO_0007254'],,No location data
ENSG00000169679,['MONDO_0007254'],0,"Nucleus,Chromosome,Nucleoplasm,Cytosol"
ENSG00000159261,['MONDO_0007254'],0,"Cell junction,Cell membrane,Vesicles"
ENSG00000168404,['MONDO_0007254'],1,"Cytoplasm,Cell membrane,Nucleus,Plasma membrane,Cell Junctions,Cytosol"
ENSG00000143801,['MONDO_0007254'],0,"Endoplasmic reticulum membrane,Golgi apparatus membrane"
ENSG00000139842,['MONDO_0007254' 'MONDO_0007254'],0,Nucleoplasm
ENSG00000198089,['MONDO_0007254'],0,Cytoplasm
ENSG00000110900,['MONDO_0007254'],0,"Membrane,Vesicles"
ENSG00000244242,['MONDO_0007254'],1,Cell membrane
ENSG00000108688,['MONDO_0007254'],0,Secreted
ENSG00000158089,['MONDO_0007254'],0,"Golgi apparatus membrane,Golgi apparatus,Nucleoplasm"
ENSG00000160193,['MONDO_0007254'],0,"Nucleus,Chromosome,Nucleoplasm,Cytosol"
ENSG00000109099,['MONDO_0007254'],1,Cell membrane
ENSG00000132386,['MONDO_0007254'],0,"Secreted,Melanosome"
ENSG00000175611,['MONDO_0007254'],,No location data
ENSG00000225614,['MONDO_0007254'],0,"Nucleus,Nucleoplasm,Cell Junctions"
ENSG00000275152,['MONDO_0007254'],0,Secreted
ENSG00000276293,['MONDO_0007254'],0,"Endoplasmic reticulum membrane,Nucleus,Nucleoplasm"
ENSG00000185129,['MONDO_0007254'],0,Nucleus
ENSG00000166250,['MONDO_0007254'],1,"Cell junction,Cell membrane"
ENSG00000109466,['MONDO_0007254'],0,"Cytoplasm,Cell projection,Nucleoplasm,Vesicles"
ENSG00000091181,['MONDO_0007254'],0,Membrane
ENSG00000106178,['MONDO_0007254'],0,Secreted
ENSG00000225950,['MONDO_0007254'],0,"Secreted,Golgi apparatus,Predicted to be secreted"
ENSG00000189430,['MONDO_0007254'],1,Cell membrane
ENSG00000117215,['MONDO_0007254'],0,Secreted
ENSG00000270641,['MONDO_0007254'],,No location data
ENSG00000182963,['MONDO_0007254'],0,"Cell membrane,Cell junction,Plasma membrane,Endoplasmic reticulum,Nucleoplasm"
ENSG00000164093,['MONDO_0007254'],0,"Nucleus,Nucleoplasm"
ENSG00000136235,['MONDO_0007254' 'MONDO_0007254'],1,"Cell membrane,Melanosome membrane"
ENSG00000145423,['MONDO_0007254'],0,"Secreted,Intermediate filaments,Predicted to be secreted"
ENSG00000166349,['MONDO_0007254'],0,"Nucleus,Nucleoplasm"
ENSG00000157557,['MONDO_0007254'],1,"Nucleus,Nucleoplasm,Cytosol,Plasma membrane"
ENSG00000143164,['MONDO_0007254'],0,"Nucleus,Focal adhesion sites,Nucleoplasm,Cytosol"
ENSG00000253409,['MONDO_0007254'],1,Cell membrane
ENSG00000129566,['MONDO_0007254'],0,"Nucleus,Chromosome,Nucleoplasm,Vesicles"
ENSG00000166148,['MONDO_0007254' 'MONDO_0007254'],1,Cell membrane
